Beacon_1,Beacon_2,Beacon_3,Beacon_4,Area
-79,-73,-86,-60,A
-86,-73,-90,-57,A
-78,-74,-90,-57,A
-78,-79,-81,-57,A
-78,-67,-77,-64,A
-74,-72,-76,-57,A
-73,-67,-76,-63,A
-85,-79,-83,-60,A
-85,-80,-78,-65,A
-73,-72,-80,-60,A
-78,-68,-76,-59,A
-79,-69,-80,-58,A
-82,-70,-81,-46,A
-82,-66,-80,-45,A
-77,-65,-87,-56,A
-76,-65,-75,-74,A
-72,-71,-73,-63,A
-81,-71,-73,-63,A
-74,-71,-75,-61,A
-85,-64,-77,-61,A
-80,-70,-79,-72,A
-80,-70,-74,-62,A
-80,-62,-74,-62,A
-82,-68,-77,-62,A
-78,-70,-74,-62,A
-77,-70,-74,-62,A
-77,-67,-74,-64,A
-74,-64,-77,-45,A
-74,-77,-84,-51,A
-75,-72,-82,-45,A
-79,-68,-76,-52,A
-79,-62,-75,-52,A
-79,-79,-72,-52,A
-79,-79,-79,-52,A
-80,-74,-82,-66,A
-77,-80,-78,-60,A
-77,-68,-78,-56,A
-77,-68,-78,-55,A
-79,-65,-79,-51,A
-79,-64,-77,-50,A
-79,-70,-76,-50,A
-78,-71,-78,-67,A
-79,-63,-74,-64,A
-73,-63,-72,-60,A
-72,-72,-72,-60,A
-72,-63,-79,-59,A
-72,-64,-79,-60,A
-75,-65,-76,-54,A
-74,-65,-76,-55,A
-74,-72,-76,-65,A
-78,-77,-46,-78,B
-79,-75,-46,-77,B
-76,-76,-46,-81,B
-76,-77,-58,-81,B
-76,-77,-65,-75,B
-76,-78,-59,-73,B
-76,-78,-59,-72,B
-75,-76,-59,-92,B
-68,-68,-61,-74,B
-75,-68,-59,-77,B
-70,-78,-62,-79,B
-83,-72,-62,-79,B
-83,-68,-62,-80,B
-86,-73,-78,-80,B
-68,-73,-68,-80,B
-86,-76,-77,-75,B
-70,-74,-60,-78,B
-77,-81,-60,-79,B
-66,-68,-60,-83,B
-76,-72,-59,-79,B
-76,-72,-59,-76,B
-75,-72,-59,-77,B
-82,-88,-59,-79,B
-74,-74,-52,-84,B
-76,-79,-55,-73,B
-76,-79,-55,-77,B
-74,-79,-55,-76,B
-74,-79,-52,-79,B
-67,-79,-52,-74,B
-86,-68,-52,-77,B
-69,-70,-55,-77,B
-84,-77,-55,-87,B
-84,-84,-55,-87,B
-74,-75,-57,-85,B
-68,-75,-57,-85,B
-72,-79,-60,-74,B
-76,-67,-62,-77,B
-76,-67,-62,-77,B
-76,-67,-64,-81,B
-66,-67,-63,-81,B
-66,-67,-63,-88,B
-75,-68,-47,-80,B
-72,-68,-47,-76,B
-77,-61,-39,-74,B
-75,-77,-40,-74,B
-75,-77,-39,-74,B
-73,-64,-62,-78,B
-74,-68,-62,-74,B
-75,-68,-72,-71,B
-77,-67,-53,-76,B
-71,-67,-76,-79,C
-71,-67,-75,-79,C
-71,-67,-75,-79,C
-72,-67,-75,-70,C
-78,-61,-79,-86,C
-74,-61,-79,-80,C
-74,-67,-75,-80,C
-80,-65,-76,-62,C
-80,-65,-71,-76,C
-68,-62,-73,-80,C
-68,-62,-73,-76,C
-68,-60,-72,-77,C
-68,-61,-72,-77,C
-70,-61,-71,-84,C
-75,-64,-70,-83,C
-70,-64,-73,-83,C
-74,-64,-72,-76,C
-74,-64,-72,-75,C
-71,-67,-79,-84,C
-70,-67,-79,-78,C
-69,-58,-80,-77,C
-69,-58,-80,-72,C
-69,-58,-77,-72,C
-68,-68,-77,-82,C
-75,-63,-75,-71,C
-75,-63,-77,-76,C
-75,-63,-77,-76,C
-75,-63,-77,-76,C
-77,-61,-69,-82,C
-75,-63,-69,-81,C
-75,-63,-83,-80,C
-74,-63,-73,-82,C
-70,-63,-78,-85,C
-70,-63,-90,-81,C
-72,-63,-90,-81,C
-71,-67,-75,-81,C
-71,-67,-75,-81,C
-69,-67,-75,-80,C
-69,-67,-75,-80,C
-74,-78,-78,-74,C
-72,-64,-85,-79,C
-79,-66,-76,-75,C
-70,-68,-76,-76,C
-71,-64,-79,-76,C
-76,-52,-72,-70,C
-72,-52,-78,-77,C
-72,-50,-81,-82,C
-72,-50,-81,-82,C
-73,-48,-81,-81,C
-77,-57,-81,-70,C
-53,-74,-70,-88,D
-53,-74,-70,-88,D
-53,-74,-70,-78,D
-53,-74,-70,-77,D
-42,-86,-88,-77,D
-53,-79,-86,-85,D
-53,-79,-86,-85,D
-42,-79,-86,-91,D
-46,-72,-86,-84,D
-47,-72,-72,-74,D
-47,-84,-88,-74,D
-50,-82,-88,-80,D
-52,-81,-79,-80,D
-50,-82,-70,-79,D
-61,-78,-77,-78,D
-68,-74,-72,-82,D
-59,-68,-72,-82,D
-59,-69,-75,-82,D
-61,-73,-73,-74,D
-70,-67,-73,-88,D
-70,-70,-72,-79,D
-65,-77,-69,-79,D
-67,-77,-72,-79,D
-70,-79,-67,-78,D
-70,-79,-76,-78,D
-59,-79,-71,-78,D
-59,-78,-76,-78,D
-70,-78,-76,-78,D
-57,-80,-69,-76,D
-56,-80,-69,-76,D
-69,-77,-71,-77,D
-71,-83,-74,-80,D
-68,-83,-83,-79,D
-68,-83,-83,-79,D
-68,-83,-83,-79,D
-63,-74,-78,-77,D
-63,-78,-71,-77,D
-63,-78,-71,-77,D
-63,-78,-76,-77,D
-63,-76,-76,-77,D
-63,-73,-78,-79,D
-65,-76,-85,-86,D
-57,-76,-85,-86,D
-74,-75,-79,-79,D
-61,-74,-78,-76,D
-61,-74,-78,-80,D
-61,-70,-79,-92,D
-61,-70,-73,-92,D
-62,-75,-77,-73,D
-68,-83,-79,-78,D
-72,-72,-74,-82,E
-72,-70,-69,-80,E
-69,-77,-76,-78,E
-80,-72,-72,-78,E
-80,-72,-73,-79,E
-80,-72,-72,-79,E
-75,-72,-70,-79,E
-79,-80,-68,-73,E
-79,-74,-67,-82,E
-64,-63,-67,-77,E
-69,-65,-70,-77,E
-75,-77,-77,-79,E
-75,-71,-77,-79,E
-75,-71,-77,-79,E
-77,-71,-74,-73,E
-77,-71,-74,-73,E
-77,-71,-78,-73,E
-69,-71,-78,-75,E
-79,-74,-78,-75,E
-79,-74,-78,-75,E
-79,-74,-78,-75,E
-74,-74,-77,-85,E
-74,-74,-80,-85,E
-74,-74,-80,-85,E
-73,-74,-80,-85,E
-73,-74,-80,-85,E
-69,-74,-80,-85,E
-82,-75,-77,-71,E
-82,-75,-77,-71,E
-75,-74,-78,-70,E
-76,-72,-79,-75,E
-76,-72,-79,-75,E
-66,-72,-72,-67,E
-66,-66,-87,-77,E
-66,-66,-87,-77,E
-66,-66,-77,-81,E
-74,-83,-72,-74,E
-74,-83,-72,-74,E
-65,-74,-72,-71,E
-67,-65,-70,-80,E
-67,-65,-70,-80,E
-67,-65,-75,-77,E
-67,-77,-70,-77,E
-67,-77,-70,-77,E
-69,-79,-65,-79,E
-69,-79,-78,-89,E
-69,-79,-79,-79,E
-76,-77,-63,-77,E
-76,-77,-63,-77,E
-70,-72,-77,-81,E
-70,-72,-77,-81,E
