Beacon_1,Beacon_2,Beacon_3,Beacon_4,Area
-72,-69,-64,-71,A
-86,-78,-64,-71,A
-86,-78,-76,-71,A
-86,-78,-79,-74,A
-86,-78,-79,-74,A
-86,-78,-79,-72,A
-86,-78,-80,-72,A
-86,-73,-80,-72,A
-75,-77,-82,-60,A
-78,-77,-78,-66,A
-78,-77,-78,-73,A
-78,-77,-78,-67,A
-76,-75,-79,-64,A
-70,-80,-79,-65,A
-75,-78,-79,-66,A
-70,-78,-72,-79,A
-71,-68,-75,-74,A
-75,-78,-71,-72,A
-79,-77,-84,-55,A
-76,-76,-80,-63,A
-76,-75,-74,-63,A
-80,-68,-74,-63,A
-78,-71,-76,-64,A
-78,-68,-76,-58,A
-79,-68,-84,-58,A
-83,-68,-84,-58,A
-83,-68,-84,-66,A
-83,-68,-80,-66,A
-80,-68,-80,-66,A
-80,-68,-81,-63,A
-77,-77,-77,-55,A
-77,-82,-76,-61,A
-78,-70,-78,-61,A
-76,-70,-85,-61,A
-76,-68,-85,-55,A
-71,-74,-85,-53,A
-77,-70,-85,-42,A
-77,-74,-80,-50,A
-82,-74,-77,-57,A
-82,-70,-79,-57,A
-81,-67,-79,-57,A
-81,-83,-79,-55,A
-81,-77,-79,-63,A
-73,-79,-79,-63,A
-73,-79,-75,-52,A
-73,-77,-94,-64,A
-78,-77,-94,-72,A
-78,-74,-72,-64,A
-81,-73,-72,-64,A
-79,-78,-75,-67,A
-82,-79,-72,-70,A
-79,-72,-82,-72,A
-79,-73,-77,-72,A
-68,-74,-77,-65,A
-79,-71,-73,-79,A
-74,-79,-80,-68,A
-74,-64,-73,-72,A
-77,-71,-76,-62,A
-77,-74,-76,-62,A
-76,-78,-76,-59,A
-76,-78,-76,-59,A
-77,-73,-74,-56,A
-81,-76,-79,-66,A
-72,-76,-80,-68,A
-79,-73,-79,-68,A
-79,-76,-76,-65,A
-89,-77,-83,-72,A
-89,-78,-80,-71,A
-89,-75,-79,-71,A
-89,-80,-79,-71,A
-90,-78,-79,-76,A
-77,-74,-83,-69,A
-74,-69,-88,-69,A
-74,-74,-77,-69,A
-80,-71,-82,-48,A
-80,-68,-82,-47,A
-78,-75,-82,-54,A
-82,-78,-87,-70,A
-75,-79,-81,-62,A
-75,-81,-81,-69,A
-75,-81,-81,-69,A
-78,-78,-81,-70,A
-81,-73,-81,-70,A
-81,-80,-81,-70,A
-67,-70,-72,-66,A
-80,-70,-79,-69,A
-79,-82,-79,-85,A
-67,-78,-79,-80,A
-82,-78,-78,-65,A
-82,-78,-78,-75,A
-77,-78,-78,-75,A
-79,-78,-77,-63,A
-79,-66,-77,-70,A
-72,-72,-77,-72,A
-77,-71,-78,-66,A
-72,-74,-78,-66,A
-74,-75,-80,-60,A
-80,-82,-84,-66,A
-69,-73,-79,-66,A
-79,-72,-74,-56,A
-77,-66,-74,-90,B
-77,-80,-74,-73,B
-74,-66,-67,-73,B
-74,-74,-67,-78,B
-74,-74,-70,-78,B
-72,-77,-67,-76,B
-73,-74,-62,-78,B
-73,-74,-62,-76,B
-76,-73,-64,-80,B
-76,-79,-64,-73,B
-75,-79,-66,-72,B
-79,-79,-59,-79,B
-79,-83,-72,-76,B
-79,-83,-63,-78,B
-80,-83,-63,-78,B
-79,-83,-61,-83,B
-79,-83,-75,-76,B
-76,-74,-78,-78,B
-74,-77,-67,-89,B
-74,-77,-62,-76,B
-78,-77,-65,-79,B
-78,-77,-55,-77,B
-70,-77,-55,-77,B
-77,-71,-76,-77,B
-77,-72,-76,-83,B
-79,-76,-64,-80,B
-74,-79,-62,-78,B
-72,-81,-61,-73,B
-72,-81,-76,-79,B
-79,-68,-61,-88,B
