Beacon_1,Beacon_2,Beacon_3,Beacon_4,Area
-79,-70,-76,-70,A
-79,-69,-77,-67,A
-79,-69,-79,-64,A
-76,-69,-75,-61,A
-80,-80,-76,-73,A
-81,-73,-76,-60,A
-78,-78,-76,-61,A
-77,-73,-77,-79,A
-83,-64,-80,-62,A
-83,-76,-75,-69,A
-79,-66,-79,-66,A
-79,-72,-79,-66,A
-79,-72,-79,-66,A
-76,-73,-79,-72,A
-76,-71,-84,-58,A
-82,-72,-87,-73,A
-82,-76,-87,-73,A
-82,-72,-78,-73,A
-80,-76,-79,-65,A
-81,-72,-79,-65,A
-77,-72,-79,-63,A
-78,-77,-94,-75,A
-78,-77,-90,-62,A
-79,-77,-90,-66,A
-79,-78,-90,-67,A
-79,-75,-90,-68,A
-75,-80,-78,-62,A
-81,-68,-77,-73,A
-79,-82,-81,-63,A
-84,-79,-74,-66,A
-84,-79,-74,-64,A
-80,-78,-74,-69,A
-80,-69,-74,-69,A
-80,-70,-79,-70,A
-80,-70,-74,-70,A
-80,-70,-74,-70,A
-80,-67,-78,-59,A
-72,-74,-78,-59,A
-79,-79,-78,-51,A
-76,-84,-78,-50,A
-80,-72,-82,-56,A
-78,-68,-73,-63,A
-76,-67,-79,-60,A
-78,-71,-70,-67,A
-78,-71,-80,-67,A
-78,-78,-73,-52,A
-69,-68,-79,-58,A
-83,-80,-72,-58,A
-83,-75,-80,-58,A
-77,-80,-82,-78,A
-65,-72,-64,-79,B
-65,-74,-75,-79,B
-77,-75,-72,-79,B
-68,-75,-77,-81,B
-68,-64,-67,-79,B
-68,-64,-67,-79,B
-68,-80,-86,-79,B
-64,-74,-74,-80,B
-70,-75,-74,-80,B
-72,-76,-73,-80,B
-74,-76,-71,-85,B
-74,-68,-71,-81,B
-75,-74,-70,-78,B
-75,-82,-70,-80,B
-75,-73,-63,-80,B
-70,-72,-66,-80,B
-89,-75,-66,-76,B
-76,-68,-66,-79,B
-76,-66,-58,-78,B
-74,-68,-59,-78,B
-74,-72,-61,-77,B
-73,-74,-71,-77,B
-79,-82,-75,-79,B
-87,-70,-58,-80,B
-87,-80,-58,-80,B
-72,-74,-74,-81,B
-77,-69,-74,-78,B
-77,-75,-74,-78,B
-71,-75,-74,-77,B
-78,-71,-56,-75,B
-70,-68,-56,-86,B
-78,-78,-64,-79,B
-73,-88,-64,-83,B
-73,-77,-64,-83,B
-73,-77,-64,-83,B
-79,-74,-73,-79,B
-79,-78,-66,-79,B
-77,-80,-59,-76,B
-74,-68,-41,-86,B
-76,-79,-71,-71,B
-66,-75,-69,-74,B
-73,-72,-79,-71,B
-71,-68,-74,-79,B
-71,-76,-62,-79,B
-71,-76,-62,-73,B
-64,-71,-70,-82,B
-64,-71,-70,-82,B
-64,-68,-60,-74,B
-67,-66,-59,-79,B
-64,-70,-59,-78,B
