Beacon_1,Beacon_2,Beacon_3,Beacon_4,X,Y
-37,-71,-74,-90,11.10,5.74
-34,-71,-77,-79,11.10,5.74
-41,-66,-81,-78,11.10,5.74
-37,-66,-78,-79,11.10,5.74
-70,-72,-76,-85,10.10,5.74
-66,-72,-81,-84,10.10,5.74
-66,-72,-79,-85,10.10,5.74
-59,-70,-81,-84,10.10,5.74
-68,-77,-71,-83,10.10,5.74
-62,-77,-78,-81,11.10,4.54
-64,-73,-72,-75,11.10,4.54
-64,-79,-71,-75,11.10,4.54
-57,-72,-79,-75,11.10,4.54
-63,-79,-71,-80,11.10,4.54
-63,-76,-82,-78,11.10,3.34
-59,-75,-88,-84,11.10,3.34
-66,-79,-74,-80,11.10,3.34
-59,-76,-78,-93,11.10,3.34
-59,-79,-73,-80,11.10,3.34
-74,-79,-72,-78,10.30,4.54
-74,-71,-65,-79,10.30,4.54
-64,-74,-73,-79,10.30,4.54
-85,-70,-67,-81,10.30,4.54
-62,-78,-63,-81,10.30,4.54
-77,-75,-71,-84,10.10,3.34
-69,-78,-77,-84,10.10,3.34
-69,-77,-75,-89,10.10,3.34
-65,-76,-77,-80,10.10,3.34
-64,-77,-78,-81,10.10,3.34
-64,-77,-70,-81,10.10,3.34
-70,-72,-71,-77,12.10,3.34
-73,-74,-72,-78,12.10,3.34
-64,-77,-78,-77,12.10,3.34
-64,-77,-75,-79,12.10,3.34
-72,-83,-75,-81,12.30,4.54
-73,-66,-77,-77,12.30,4.54
-76,-72,-78,-79,12.30,4.54
-63,-77,-73,-76,12.30,4.54
-64,-70,-70,-88,12.10,5.74
-67,-76,-71,-80,12.10,5.74
-65,-77,-84,-82,12.10,5.74
-70,-78,-81,-85,12.10,5.74
-62,-74,-91,-92,12.10,5.74
-73,-80,-80,-82,12.10,6.94
-63,-75,-79,-80,12.10,6.94
-74,-74,-84,-81,12.10,6.94
-64,-87,-84,-80,12.10,6.94
-70,-71,-86,-82,12.10,6.94
-65,-77,-78,-90,11.10,6.94
-66,-70,-76,-76,11.10,6.94
-66,-70,-74,-86,11.10,6.94
-66,-70,-76,-87,11.10,6.94
-65,-70,-79,-76,11.10,6.94
-63,-80,-72,-83,11.90,6.94
-73,-80,-77,-84,11.90,6.94
-68,-79,-73,-82,11.90,6.94
-77,-80,-78,-84,11.90,6.94
-68,-79,-78,-82,11.90,6.94
-66,-80,-80,-89,10.90,6.94
-67,-79,-77,-81,10.90,6.94
-70,-80,-77,-84,10.90,6.94
-72,-77,-77,-83,10.90,6.94
-73,-74,-78,-81,10.90,6.94
-65,-73,-78,-76,10.90,5.74
-72,-77,-87,-82,10.90,5.74
-88,-79,-77,-80,10.90,5.74
-60,-80,-78,-79,10.90,5.74
-76,-78,-79,-76,10.90,5.74
-63,-80,-76,-76,10.90,5.74
-65,-79,-72,-85,10.90,4.54
-62,-80,-72,-81,10.90,4.54
-66,-76,-72,-79,10.90,4.54
-62,-78,-79,-80,10.90,4.54
-63,-79,-75,-80,10.90,4.54
-62,-78,-77,-75,10.90,3.34
-71,-72,-73,-82,10.90,3.34
-60,-88,-80,-82,10.90,3.34
-60,-72,-80,-74,10.90,3.34
-71,-70,-77,-76,10.90,3.34
-77,-77,-43,-74,11.10,1.25
-75,-75,-41,-79,11.10,1.25
-74,-74,-42,-87,11.10,1.25
-74,-75,-47,-76,11.10,1.25
-83,-77,-43,-78,11.10,1.25
-73,-70,-62,-78,10.30,1.25
-76,-69,-60,-80,10.30,1.25
-72,-64,-52,-81,10.30,1.25
-71,-72,-60,-81,10.30,1.25
-75,-70,-60,-82,10.30,1.25
-70,-73,-72,-79,9.50,1.25
-70,-73,-72,-79,9.50,1.25
-70,-73,-72,-79,9.50,1.25
-58,-77,-77,-78,9.50,1.25
-79,-74,-70,-77,9.50,1.25
-68,-74,-77,-80,9.50,2.25
-80,-72,-74,-75,9.50,2.25
-79,-64,-75,-78,9.50,2.25
-77,-67,-75,-73,9.50,2.25
-70,-67,-67,-77,9.50,2.25
-75,-73,-65,-86,9.50,0.25
-80,-78,-77,-80,9.50,0.25
-74,-76,-64,-80,9.50,0.25
-81,-77,-65,-81,9.50,0.25
-67,-78,-65,-79,9.50,0.25
-78,-78,-69,-79,8.70,1.25
-74,-76,-72,-77,8.70,1.25
-79,-78,-72,-77,8.70,1.25
-75,-79,-71,-83,8.70,1.25
-79,-75,-78,-77,8.70,1.25
-75,-77,-76,-75,8.70,2.45
-76,-67,-71,-82,8.70,2.45
-77,-72,-72,-75,8.70,2.45
-70,-71,-72,-81,8.70,2.45
-75,-66,-76,-80,8.70,2.45
-77,-72,-79,-73,8.70,0.05
-69,-76,-67,-76,8.70,0.05
-78,-76,-74,-76,8.70,0.05
-70,-76,-67,-76,8.70,0.05
-77,-76,-73,-73,8.70,0.05
-79,-72,-71,-78,7.90,2.45
-88,-70,-69,-79,7.90,2.45
-79,-83,-72,-79,7.90,2.45
-92,-71,-69,-78,7.90,2.45
-78,-70,-68,-79,7.90,2.45
-73,-78,-76,-78,7.90,1.25
-73,-91,-66,-81,7.90,1.25
-75,-84,-66,-81,7.90,1.25
-67,-88,-73,-84,7.90,1.25
-70,-80,-65,-83,7.90,1.25
-78,-73,-81,-77,7.90,1.25
-78,-76,-80,-81,7.90,0.05
-66,-69,-64,-79,7.90,0.05
-81,-76,-81,-74,7.90,0.05
-81,-68,-81,-75,7.90,0.05
-72,-75,-79,-84,7.90,0.05
-64,-45,-72,-70,6.15,5.65
-66,-40,-70,-70,6.15,5.65
-84,-49,-71,-69,6.15,5.65
-65,-43,-70,-70,6.15,5.65
-66,-50,-70,-69,6.15,5.65
-73,-64,-76,-90,6.15,6.85
-77,-70,-73,-81,6.15,6.85
-78,-58,-72,-79,6.15,6.85
-77,-68,-72,-72,6.15,6.85
-79,-68,-77,-73,6.15,6.85
-74,-70,-79,-85,5.35,6.85
-76,-70,-76,-75,5.35,6.85
-73,-70,-77,-84,5.35,6.85
-82,-70,-80,-76,5.35,6.85
-78,-69,-77,-74,5.35,6.85
-74,-63,-75,-69,5.35,5.75
-77,-59,-80,-72,5.35,5.75
-69,-58,-76,-63,5.35,5.75
-66,-59,-72,-64,5.35,5.75
-67,-59,-72,-71,5.35,5.75
-68,-60,-79,-73,5.55,4.55
-78,-75,-76,-74,5.55,4.55
-78,-74,-77,-82,5.55,4.55
-69,-62,-72,-74,5.55,4.55
-70,-61,-76,-73,5.55,4.55
-72,-67,-75,-69,5.35,3.35
-73,-67,-76,-68,5.35,3.35
-72,-76,-77,-70,5.35,3.35
-71,-67,-87,-70,5.35,3.35
-71,-76,-73,-69,5.35,3.35
-80,-72,-76,-80,4.15,5.65
-80,-72,-76,-80,4.15,5.65
-80,-72,-76,-80,4.15,5.65
-79,-67,-79,-78,4.15,5.65
-81,-71,-78,-78,4.15,5.65
-76,-76,-79,-75,4.15,6.85
-78,-75,-79,-79,4.15,6.85
-78,-75,-76,-79,4.15,6.85
-77,-75,-76,-76,4.15,6.85
-78,-75,-78,-80,4.15,6.85
