Beacon_1,Beacon_2,Beacon_3,Beacon_4,X,Y
-37.0,-71.0,-74.0,-90.0,11.1,5.74
-34.0,-71.0,-77.0,-79.0,11.1,5.74
-41.0,-66.0,-81.0,-78.0,11.1,5.74
-37.0,-66.0,-78.0,-79.0,11.1,5.74
-70.0,-72.0,-76.0,-85.0,10.1,5.74
-66.0,-72.0,-81.0,-84.0,10.1,5.74
-66.0,-72.0,-79.0,-85.0,10.1,5.74
-59.0,-70.0,-81.0,-84.0,10.1,5.74
-68.0,-77.0,-71.0,-83.0,10.1,5.74
-62.0,-77.0,-78.0,-81.0,11.1,4.54
-64.0,-73.0,-72.0,-75.0,11.1,4.54
-64.0,-79.0,-71.0,-75.0,11.1,4.54
-57.0,-72.0,-79.0,-75.0,11.1,4.54
-63.0,-79.0,-71.0,-80.0,11.1,4.54
-63.0,-76.0,-82.0,-78.0,11.1,3.34
-59.0,-75.0,-88.0,-84.0,11.1,3.34
-66.0,-79.0,-74.0,-80.0,11.1,3.34
-59.0,-79.0,-73.0,-80.0,11.1,3.34
-74.0,-79.0,-72.0,-78.0,10.3,4.54
-74.0,-71.0,-65.0,-79.0,10.3,4.54
-64.0,-74.0,-73.0,-79.0,10.3,4.54
-62.0,-78.0,-63.0,-81.0,10.3,4.54
-77.0,-75.0,-71.0,-84.0,10.1,3.34
-69.0,-78.0,-77.0,-84.0,10.1,3.34
-69.0,-77.0,-75.0,-89.0,10.1,3.34
-65.0,-76.0,-77.0,-80.0,10.1,3.34
-64.0,-77.0,-78.0,-81.0,10.1,3.34
-64.0,-77.0,-70.0,-81.0,10.1,3.34
-70.0,-72.0,-71.0,-77.0,12.1,3.34
-73.0,-74.0,-72.0,-78.0,12.1,3.34
-64.0,-77.0,-78.0,-77.0,12.1,3.34
-64.0,-77.0,-75.0,-79.0,12.1,3.34
-72.0,-83.0,-75.0,-81.0,12.3,4.54
-73.0,-66.0,-77.0,-77.0,12.3,4.54
-76.0,-72.0,-78.0,-79.0,12.3,4.54
-63.0,-77.0,-73.0,-76.0,12.3,4.54
-64.0,-70.0,-70.0,-88.0,12.1,5.74
-67.0,-76.0,-71.0,-80.0,12.1,5.74
-65.0,-77.0,-84.0,-82.0,12.1,5.74
-70.0,-78.0,-81.0,-85.0,12.1,5.74
-73.0,-80.0,-80.0,-82.0,12.1,6.94
-63.0,-75.0,-79.0,-80.0,12.1,6.94
-74.0,-74.0,-84.0,-81.0,12.1,6.94
-64.0,-87.0,-84.0,-80.0,12.1,6.94
-70.0,-71.0,-86.0,-82.0,12.1,6.94
-65.0,-77.0,-78.0,-90.0,11.1,6.94
-66.0,-70.0,-76.0,-76.0,11.1,6.94
-66.0,-70.0,-74.0,-86.0,11.1,6.94
-66.0,-70.0,-76.0,-87.0,11.1,6.94
-65.0,-70.0,-79.0,-76.0,11.1,6.94
-63.0,-80.0,-72.0,-83.0,11.9,6.94
-73.0,-80.0,-77.0,-84.0,11.9,6.94
-68.0,-79.0,-73.0,-82.0,11.9,6.94
-77.0,-80.0,-78.0,-84.0,11.9,6.94
-68.0,-79.0,-78.0,-82.0,11.9,6.94
-66.0,-80.0,-80.0,-89.0,10.9,6.94
-67.0,-79.0,-77.0,-81.0,10.9,6.94
-70.0,-80.0,-77.0,-84.0,10.9,6.94
-72.0,-77.0,-77.0,-83.0,10.9,6.94
-73.0,-74.0,-78.0,-81.0,10.9,6.94
-65.0,-73.0,-78.0,-76.0,10.9,5.74
-72.0,-77.0,-87.0,-82.0,10.9,5.74
-76.0,-78.0,-79.0,-76.0,10.9,5.74
-63.0,-80.0,-76.0,-76.0,10.9,5.74
-65.0,-79.0,-72.0,-85.0,10.9,4.54
-62.0,-80.0,-72.0,-81.0,10.9,4.54
-66.0,-76.0,-72.0,-79.0,10.9,4.54
-62.0,-78.0,-79.0,-80.0,10.9,4.54
-63.0,-79.0,-75.0,-80.0,10.9,4.54
-62.0,-78.0,-77.0,-75.0,10.9,3.34
-71.0,-72.0,-73.0,-82.0,10.9,3.34
-60.0,-72.0,-80.0,-74.0,10.9,3.34
-71.0,-70.0,-77.0,-76.0,10.9,3.34
-77.0,-77.0,-43.0,-74.0,11.1,1.25
-75.0,-75.0,-41.0,-79.0,11.1,1.25
-74.0,-74.0,-42.0,-87.0,11.1,1.25
-74.0,-75.0,-47.0,-76.0,11.1,1.25
-83.0,-77.0,-43.0,-78.0,11.1,1.25
-73.0,-70.0,-62.0,-78.0,10.3,1.25
-76.0,-69.0,-60.0,-80.0,10.3,1.25
-72.0,-64.0,-52.0,-81.0,10.3,1.25
-71.0,-72.0,-60.0,-81.0,10.3,1.25
-75.0,-70.0,-60.0,-82.0,10.3,1.25
-70.0,-73.0,-72.0,-79.0,9.5,1.25
-70.0,-73.0,-72.0,-79.0,9.5,1.25
-70.0,-73.0,-72.0,-79.0,9.5,1.25
